




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21988)	Client Text Box Input (671)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
anion binding (GO:0043168)	2315	127	70.65	+	1.80	2.47E-10	4.58E-08
molecular function regulator (GO:0098772)	1908	104	58.23	+	1.79	1.75E-08	2.56E-06
RNA binding (GO:0003723)	1140	62	34.79	+	1.78	2.25E-05	1.91E-03
signaling receptor binding (GO:0005102)	1799	94	54.90	+	1.71	5.98E-07	7.21E-05
protein binding (GO:0005515)	9555	484	291.59	+	1.66	1.70E-49	8.19E-46
heterocyclic compound binding (GO:1901363)	5364	271	163.69	+	1.66	3.60E-19	4.34E-16
organic cyclic compound binding (GO:0097159)	5445	271	166.16	+	1.63	2.86E-18	2.76E-15
metal ion binding (GO:0046872)	3574	173	109.07	+	1.59	7.08E-10	1.22E-07
ion binding (GO:0043167)	5291	256	161.46	+	1.59	1.72E-15	1.18E-12
cation binding (GO:0043169)	3671	175	112.03	+	1.56	1.53E-09	2.55E-07
catalytic activity, acting on a protein (GO:0140096)	2254	107	68.78	+	1.56	8.49E-06	7.88E-04
DNA binding (GO:0003677)	2325	110	70.95	+	1.55	6.28E-06	6.18E-04
sequence-specific double-stranded DNA binding (GO:1990837)	1505	71	45.93	+	1.55	3.79E-04	2.10E-02
sequence-specific DNA binding (GO:0043565)	1599	75	48.80	+	1.54	3.07E-04	1.81E-02
transferase activity (GO:0016740)	2224	104	67.87	+	1.53	1.88E-05	1.62E-03
nucleic acid binding (GO:0003676)	3379	158	103.12	+	1.53	5.57E-08	7.90E-06
double-stranded DNA binding (GO:0003690)	1608	75	49.07	+	1.53	4.13E-04	2.27E-02
transcription cis-regulatory region binding (GO:0000976)	1448	67	44.19	+	1.52	9.51E-04	4.63E-02
transcription regulator activity (GO:0140110)	1805	82	55.08	+	1.49	4.80E-04	2.54E-02
catalytic activity (GO:0003824)	5537	248	168.97	+	1.47	3.08E-11	6.20E-09
binding (GO:0005488)	13996	580	427.11	+	1.36	6.92E-39	1.67E-35
molecular_function (GO:0003674)	20503	648	625.68	+	1.04	2.82E-04	1.70E-02
molecular transducer activity (GO:0060089)	2366	38	72.20	-	.53	7.47E-06	7.21E-04
signaling receptor activity (GO:0038023)	2366	38	72.20	-	.53	7.47E-06	7.07E-04
Unclassified (UNCLASSIFIED)	1485	23	45.32	-	.51	2.82E-04	1.72E-02
transmembrane signaling receptor activity (GO:0004888)	2165	28	66.07	-	.42	8.93E-08	1.20E-05
odorant binding (GO:0005549)	518	0	15.81	-	 < 0.01	2.56E-07	3.17E-05
olfactory receptor activity (GO:0004984)	1134	0	34.61	-	 < 0.01	1.55E-15	1.24E-12
