prmtrID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
chr7_47453126_47453425_-	p022@TNS3	99.234	0.964621406562105	3.23637761896677e-11	8.07358529473338e-08	16.604	8.28	ASO_G0272888_AD_07	AC013394.2	2.454
chr22_24011154_24011322_+	p001@CABIN1	73.056	-1.84837796067189	9.77525739270058e-11	2.23535698427581e-07	2.124	7.329	ASO_G0272888_AD_07	AC013394.2	-4.002
chr2_218568877_218569062_+	p005@RQCD1	76.848	-1.59744136019982	5.11247701396585e-10	1.07916524415567e-06	2.624	7.646	ASO_G0272888_AD_07	AC013394.2	-5.728
chr10_29735868_29736057_-	p004@SVIL	68.008	-1.83107132867835	3.06786656277344e-09	6.01323759636186e-06	1.86	6.844	ASO_G0272888_AD_07	AC013394.2	-4.222
chr4_39527501_39527713_-	p003@UGDH	327.828	-0.697029232119084	3.37015589458251e-09	6.16536319354924e-06	19.848	31.614	ASO_G0272888_AD_07	AC013394.2	-4.184
chr5_52989203_52989502_+	p001@ITGA2	974.836	0.742885153748505	4.77358042400766e-09	8.18698877594964e-06	143.742	83.543	ASO_G0272888_AD_07	AC013394.2	2.538
chr22_31292338_31292637_-	p003@PIK3IP1	133.054	0.761064885190187	1.25222388300052e-08	2.02131032784807e-05	19.835	11.414	ASO_G0272888_AD_07	AC013394.2	2.065
chr1_43367466_43367662_-	p006@ELOVL1	131.853	0.8836741594892	5.27377891555323e-08	8.0398759567609e-05	21.173	11.114	ASO_G0272888_AD_07	AC013394.2	2.819
chr12_84912613_84912781_-	p004@SLC6A15	37.052	1.17865083031551	5.85305699814071e-08	8.45335458347259e-05	6.944	2.994	ASO_G0272888_AD_07	AC013394.2	2.048
chr15_42457382_42457681_-	p005@ZNF106	206.853	0.595613000321121	7.58742879583997e-08	0.000104103316793322	28.064	18.059	ASO_G0272888_AD_07	AC013394.2	1.519
chr1_32292027_32292122_+	p002@HDAC1	670.26	-0.556629048734382	8.86243852075693e-08	0.000115806750213377	44.517	64.133	ASO_G0272888_AD_07	AC013394.2	-3.624
chr1_203626969_203627254_+	p003@ATP2B4	486.13	0.675622713481158	1.2122293293902e-07	0.000151203568308165	69.033	42.011	ASO_G0272888_AD_07	AC013394.2	2.682
chr1_170663774_170664027_+	p011@PRRX1	460.543	0.544829626752422	1.69020801412058e-07	0.000201656513545578	60.561	40.373	ASO_G0272888_AD_07	AC013394.2	2.101
chr16_47461131_47461225_-	p005@ITFG1	75.858	-1.29821865304919	1.99401130897594e-07	0.000227990268040036	3.016	7.492	ASO_G0272888_AD_07	AC013394.2	-4.893
chr12_46371226_46371525_-	p006@SLC38A2	359.549	0.6310092171636	3.58143598196019e-07	0.000393112739123878	49.923	31.256	ASO_G0272888_AD_07	AC013394.2	2.36
chr5_180071984_180072283_-	p001@RNF130	145.625	-0.846551021138478	3.74506315086066e-07	0.000395262607395259	8.037	14.155	ASO_G0272888_AD_07	AC013394.2	-3.463
chr5_112922077_112922268_-	p003@REEP5	1081.715	0.419785411283945	4.15844599578988e-07	0.000422636728038779	132.092	96.152	ASO_G0272888_AD_07	AC013394.2	2.639
chr19_4457644_4457836_-	p003@UBXN6	81.99	1.94942970691476	4.88735129606653e-07	0.000478977881840577	22.849	7.285	ASO_G0272888_AD_07	AC013394.2	3.86
chr3_52536455_52536754_+	p002@SMIM4	592.875	0.477563316659729	5.10317840256032e-07	0.000482883857050544	75.074	52.382	ASO_G0272888_AD_07	AC013394.2	2.219
chr12_64404372_64404478_+	p003@XPOT	393.631	-0.658322065333993	6.21405929514136e-07	0.00056840000372658	24.619	37.919	ASO_G0272888_AD_07	AC013394.2	-2.692
chr2_40451906_40452205_-	p004@SLC8A1	153.518	-0.725426784532283	1.11179809596436e-06	0.00098415650165671	9.282	14.811	ASO_G0272888_AD_07	AC013394.2	-0.946
chr17_32876974_32877273_-	p001@MYO1D	268.004	-0.719873200450835	1.33245467103005e-06	0.00114262151961673	15.958	25.894	ASO_G0272888_AD_07	AC013394.2	-1.662
chr9_109013349_109013648_-	p003@CTNNAL1	983.908	-0.663536901102143	1.39563219196157e-06	0.00116053160544295	61.127	94.616	ASO_G0272888_AD_07	AC013394.2	-1.905
chr11_76860787_76861086_+	p001@ACER3	179.609	-0.816714049189439	1.63603584798096e-06	0.00132042528542487	9.978	17.444	ASO_G0272888_AD_07	AC013394.2	-3.942
chr11_104164083_104164127_-	p004@PDGFD	47.142	-1.25857480100986	2.15961183520669e-06	0.0016461641213863	1.924	4.658	ASO_G0272888_AD_07	AC013394.2	-1.892
chr5_37840461_37840760_-	p001@GDNF	72.839	0.93343761478863	2.10663841379684e-06	0.0016461641213863	11.925	6.095	ASO_G0272888_AD_07	AC013394.2	1.566
chr10_24449546_24449802_+	p023@KIAA1217	75.994	0.712771820558175	2.24604212730116e-06	0.00166577410852084	11.075	6.534	ASO_G0272888_AD_07	AC013394.2	2.139
chr10_29735677_29735867_-	p005@SVIL	87.679	-0.998559132937099	2.78503941341568e-06	0.00201116490904052	4.374	8.554	ASO_G0272888_AD_07	AC013394.2	-2.257
chr15_92900174_92900473_+	p012@CHD2	571.615	0.740130161957327	3.25291282076384e-06	0.00228879950550207	84.315	49.211	ASO_G0272888_AD_07	AC013394.2	4.219
chr5_180071578_180071877_-	p002@RNF130	177.068	-1.3592137017792	3.94037335301833e-06	0.00263726305317502	6.886	17.57	ASO_G0272888_AD_07	AC013394.2	-5.483
chr6_36547235_36547422_-	p002@STK38	127.245	0.617109697247949	3.87173116900688e-06	0.00263726305317502	17.46	11.087	ASO_G0272888_AD_07	AC013394.2	2.631
chr12_56189323_56189622_-	p001@SMARCC2	938.681	-0.372771098924735	4.10609835214807e-06	0.00268274868764989	70.429	88.825	ASO_G0272888_AD_07	AC013394.2	-2.029
chr6_85450097_85450259_+	p003@NT5E	341.684	0.530546021961505	4.31808574022331e-06	0.00275564164645274	44.439	30.027	ASO_G0272888_AD_07	AC013394.2	2.569
chr6_166627065_166627233_-	p019@RPS6KA2	110.683	-1.08041960770163	4.97333633180345e-06	0.00310166641547769	5.178	10.885	ASO_G0272888_AD_07	AC013394.2	-2.393
chr19_14381429_14381593_+	p004@CD97	311.815	0.503400380716905	5.18260422657035e-06	0.00315934372350395	40.166	27.496	ASO_G0272888_AD_07	AC013394.2	2.221
chr9_92293679_92293844_-	p001@IARS	1231.73	-0.43301146941455	5.29608291538871e-06	0.00315934372350395	89.147	116.919	ASO_G0272888_AD_07	AC013394.2	-2.492
chr3_86991136_86991298_-	p001@VGLL3	505.889	-0.662256894785432	5.55474021220929e-06	0.00324314098219649	31.382	48.763	ASO_G0272888_AD_07	AC013394.2	-2.675
chr12_55728400_55728551_-	p009@CD63	222.445	0.537249053517891	5.87012612770223e-06	0.00335587773063077	29.099	19.549	ASO_G0272888_AD_07	AC013394.2	2.144
chr10_88990487_88990720_+	p007@FAS	126.206	0.829746357987824	6.64134171544374e-06	0.00371928689823452	19.614	10.718	ASO_G0272888_AD_07	AC013394.2	2.926
chr15_63156708_63157007_-	p003@RPS27L	12.556	1.7019378287008	9.0375044149939e-06	0.00495996317303695	3.047	0.931	ASO_G0272888_AD_07	AC013394.2	2.869
chr5_146203588_146203754_+	p002@RBM27	442.842	-0.576146239182242	1.04189010857543e-05	0.00560598166067026	29.188	42.36	ASO_G0272888_AD_07	AC013394.2	-3.572
chr2_87455511_87455691_+	p005@LINC00152	547.089	0.628186042242438	1.24087167860518e-05	0.0065482230255009	75.444	47.562	ASO_G0272888_AD_07	AC013394.2	2.4
chr10_88990721_88990952_+	p008@FAS	215.806	0.659757428725741	1.26538852867034e-05	0.00655160879532883	30.45	18.708	ASO_G0272888_AD_07	AC013394.2	2.164
chr4_1172433_1172694_-	p018@SPON2	4441.776	0.750937141476753	1.36250172870052e-05	0.00692377961801314	658.203	380.138	ASO_G0272888_AD_07	AC013394.2	2.678
chr19_50384197_50384496_+	p006@POLD1	261.084	-0.86618808603245	1.86596019255307e-05	0.00930978429888159	14.11	25.352	ASO_G0272888_AD_07	AC013394.2	-1.931
chr12_2794844_2795143_+	p003@FKBP4	489.844	-0.709552300131404	2.04168098661868e-05	0.00965961516444885	29.446	47.265	ASO_G0272888_AD_07	AC013394.2	-3.114
chr6_28259174_28259473_+	p001@NKAPL	38.052	0.923585645304136	2.0372617737728e-05	0.00965961516444885	6.302	3.187	ASO_G0272888_AD_07	AC013394.2	2.759
chr7_99558827_99559002_+	p006@ZNF655	176.073	0.515165289173211	1.9931821795108e-05	0.00965961516444885	22.829	15.497	ASO_G0272888_AD_07	AC013394.2	2.757
chr11_57335718_57336017_-	p001@SSRP1	1073.351	-0.689506258013302	2.14306734558776e-05	0.00996744254750403	65.649	103.325	ASO_G0272888_AD_07	AC013394.2	-3.864
chr8_23246491_23246790_+	p009@CHMP7	305.163	-0.590496042064468	2.21485255804751e-05	0.0101296281742303	19.782	29.308	ASO_G0272888_AD_07	AC013394.2	-3.746
chr1_16613377_16613676_-	p002@NBPF1	588.22	-0.640240090302935	2.40775680163988e-05	0.0106981374054136	37.045	56.569	ASO_G0272888_AD_07	AC013394.2	-3.109
chr20_45812845_45813144_+	p004@UBE2C	102.549	0.805819416072763	2.41712954752247e-05	0.0106981374054136	15.644	8.728	ASO_G0272888_AD_07	AC013394.2	3.072
chr10_87659728_87660027_+	p002@PAPSS2	807.725	-0.599852055726348	2.78353741032237e-05	0.0121242936629613	52.56	77.438	ASO_G0272888_AD_07	AC013394.2	-3.321
chr17_16415421_16415590_+	p001@TRPV2	778.532	0.430343793040248	2.93357306922116e-05	0.0125781529050778	95.627	69.076	ASO_G0272888_AD_07	AC013394.2	2.504
chr19_13623964_13624263_-	p003@CACNA1A	33.634	1.06391120744708	3.50669116836609e-05	0.0140174410691643	5.92	2.769	ASO_G0272888_AD_07	AC013394.2	2.098
chr1_110082544_110082843_+	p001@RP4-773N10.6	88.505	-0.777401444697926	3.54261818226173e-05	0.0140174410691643	5.19	8.566	ASO_G0272888_AD_07	AC013394.2	-1.944
chr1_172144481_172144712_-	p001@MIR199A2	70.441	0.689730842902831	3.6234625075027e-05	0.0140174410691643	10.162	6.072	ASO_G0272888_AD_07	AC013394.2	2.761
chr21_37073078_37073251_+	p002@TTC3	136.734	-0.910308483426468	3.62682961958626e-05	0.0140174410691643	7.15	13.348	ASO_G0272888_AD_07	AC013394.2	-3.149
chr2_73892858_73893157_+	p002@ACTG2	166.769	0.563678917704522	3.38554221412127e-05	0.0140174410691643	22.128	14.595	ASO_G0272888_AD_07	AC013394.2	2.189
chr3_149657875_149658127_-	p012@WWTR1	1303.156	0.3784771876321	3.4253082164958e-05	0.0140174410691643	155.382	116.467	ASO_G0272888_AD_07	AC013394.2	1.889
chrX_136497086_136497385_+	p001@HTATSF1	239.214	-0.703928356236702	3.3545073990595e-05	0.0140174410691643	14.419	23.097	ASO_G0272888_AD_07	AC013394.2	-3.988
chr11_61816846_61817004_-	p004@FADS1	1385.119	-0.870704530515095	3.94301425747374e-05	0.0150278130887968	75.407	134.762	ASO_G0272888_AD_07	AC013394.2	-2.278
chr6_35688929_35689090_-	p013@FKBP5	95.366	-1.04934158078294	4.08020999187865e-05	0.0153376770393345	4.522	9.352	ASO_G0272888_AD_07	AC013394.2	-2.568
chr1_31798674_31798865_-	p006@SPOCD1	724.923	0.420943463860369	4.190780430397e-05	0.0153741035272441	88.698	64.457	ASO_G0272888_AD_07	AC013394.2	2.138
chr8_13276368_13276532_-	p014@DLC1	110.559	-0.749673235998617	4.20195242353891e-05	0.0153741035272441	6.417	10.705	ASO_G0272888_AD_07	AC013394.2	-2.084
chr11_113773542_113773841_-	p001@ZW10	256.473	-0.566277008218379	4.30701765346704e-05	0.0154278050949451	17.18	24.52	ASO_G0272888_AD_07	AC013394.2	-3.44
chr3_174440845_174441144_+	p004@NAALADL2	147.324	-0.8039130360777	4.32907325648036e-05	0.0154278050949451	8.505	14.283	ASO_G0272888_AD_07	AC013394.2	-0.913
chr10_80454297_80454459_+	p002@TSPAN14	277.873	0.398747457851421	4.50491800769186e-05	0.0158486480832144	33.534	24.757	ASO_G0272888_AD_07	AC013394.2	1.887
chr2_85611882_85612181_-	p001@C2orf68	436.292	-0.749870213004833	4.65978812513424e-05	0.0159836557427261	25.52	42.194	ASO_G0272888_AD_07	AC013394.2	-3.135
chr4_152352618_152352797_-	p020@FBXW7	40.545	0.823259548911941	4.63150856153949e-05	0.0159836557427261	6.244	3.44	ASO_G0272888_AD_07	AC013394.2	1.089
chr4_176792159_176792410_-	p010@VEGFC	87.102	0.743333431719624	4.87786376402584e-05	0.0165251184627942	12.897	7.468	ASO_G0272888_AD_07	AC013394.2	2.873
chr5_119070937_119071131_+	p002@DMXL1	121.37	-0.65884270050931	5.19916024864805e-05	0.0173987995589209	7.492	11.685	ASO_G0272888_AD_07	AC013394.2	-2.232
chr17_16381251_16381550_+	p005@UBB	129.632	0.633791901830799	5.55315271379335e-05	0.0175154096114027	17.996	11.254	ASO_G0272888_AD_07	AC013394.2	2.13
chr19_13938377_13938556_-	p003@PODNL1	53.884	-1.27313605317898	5.51902574610296e-05	0.0175154096114027	2.161	5.336	ASO_G0272888_AD_07	AC013394.2	-3.541
chr1_43367861_43368160_-	p004@ELOVL1	1052.077	0.4329660461386	5.52147545536715e-05	0.0175154096114027	129.525	93.391	ASO_G0272888_AD_07	AC013394.2	2.657
chr3_50340672_50340895_-	p003@RASSF1	133.974	-0.806929048895401	5.30161094470214e-05	0.0175154096114027	7.515	13.022	ASO_G0272888_AD_07	AC013394.2	-3.471
chr8_38030401_38030683_+	p003@EIF4EBP1	2787.025	-0.464911567511122	5.47240789952518e-05	0.0175154096114027	197.039	265.243	ASO_G0272888_AD_07	AC013394.2	-2.096
chr11_130916329_130916628_-	p001@SNX19	637.997	-0.507267341177122	6.10685226178385e-05	0.018619792546179	43.869	60.904	ASO_G0272888_AD_07	AC013394.2	-2.486
chr16_89873442_89873607_+	p003@TCF25	651.327	-0.524878261923995	6.09435278941641e-05	0.018619792546179	44.247	62.187	ASO_G0272888_AD_07	AC013394.2	-1.955
chr5_39074249_39074548_-	p005@RICTOR	170.422	-0.718257593136036	6.04369599615952e-05	0.018619792546179	10.362	16.427	ASO_G0272888_AD_07	AC013394.2	-1.536
chr16_47461226_47461255_-	p004@ITFG1	50.731	-0.979472065163137	6.41684267833596e-05	0.0192458326190534	2.516	4.956	ASO_G0272888_AD_07	AC013394.2	-3.004
chr20_2800456_2800755_-	p001@CPXM1	102.818	-0.808933817033962	6.45244925823736e-05	0.0192458326190534	5.747	9.979	ASO_G0272888_AD_07	AC013394.2	-2.239
chr11_66289119_66289284_-	p005@YIF1A	557.558	-0.839238383553012	6.55271181974594e-05	0.0193347274242633	30.882	54.081	ASO_G0272888_AD_07	AC013394.2	-1.666
chr12_89352106_89352329_-	p009@DUSP6	35.108	1.05140030388732	6.86305740718533e-05	0.0196176206573513	6.171	2.889	ASO_G0272888_AD_07	AC013394.2	2.132
chr1_202967102_202967401_-	p002@CYB5R1	488.457	0.414597529666324	6.80134780935904e-05	0.0196176206573513	59.54	43.443	ASO_G0272888_AD_07	AC013394.2	1.601
chr1_52552942_52553241_-	p003@ZCCHC11	248.969	-0.633489952908519	6.81652716358132e-05	0.0196176206573513	15.745	23.959	ASO_G0272888_AD_07	AC013394.2	-2.246
chr16_54928736_54929029_-	p005@CRNDE	236.75	-0.733585891272608	6.96638911887413e-05	0.0197076993619613	13.981	22.898	ASO_G0272888_AD_07	AC013394.2	-2.585
chrX_154437071_154437175_+	p002@GDI1	644.195	-0.564572050194435	7.26237210827403e-05	0.0203353829615457	42.574	61.645	ASO_G0272888_AD_07	AC013394.2	-3.664
chr1_145751397_145751696_-	p009@RNF115	9.485	1.31931898571637	7.77825463936841e-05	0.0213443085558909	1.924	0.748	ASO_G0272888_AD_07	AC013394.2	2.686
chr8_23102771_23103070_+	p003@TNFRSF10C	78.198	1.01312397323464	7.75701114885124e-05	0.0213443085558909	13.433	6.446	ASO_G0272888_AD_07	AC013394.2	0.824
chr11_66568410_66568583_-	p003@CTSF	153.957	-0.618446585626593	7.90441502687007e-05	0.0214757477972615	9.681	14.821	ASO_G0272888_AD_07	AC013394.2	-2.309
chr6_37257989_37258288_-	p001@TMEM217	16.452	1.10431564108037	8.0208356185379e-05	0.0215784068831665	2.964	1.349	ASO_G0272888_AD_07	AC013394.2	1.839
chr3_155079965_155080049_+	p007@MME	459.305	-0.637916140984576	8.14425469056366e-05	0.0216977177634716	28.958	44.173	ASO_G0272888_AD_07	AC013394.2	-2.794
chr1_23791204_23791370_+	p004@LYPLA2	128.248	0.674003844380799	8.4605903872325e-05	0.0223237558476968	18.194	11.084	ASO_G0272888_AD_07	AC013394.2	1.592
chr17_18363473_18363680_-	p001@SHMT1	113.444	-0.847086320945545	8.68681314748254e-05	0.022488192413214	6.169	11.03	ASO_G0272888_AD_07	AC013394.2	-3.093
chr6_138107269_138107434_-	p004@PERP	573.729	0.485623211616046	8.67762140762504e-05	0.022488192413214	72.881	50.614	ASO_G0272888_AD_07	AC013394.2	2.023
chr17_16415591_16415758_+	p002@TRPV2	317.351	0.538680159970781	8.87809923167817e-05	0.0227685907492038	41.595	27.838	ASO_G0272888_AD_07	AC013394.2	2.348
chr2_237413992_237414153_-	p005@COL6A3	3559.219	-0.472262684273343	9.25935298115684e-05	0.0234376229337183	250.727	338.802	ASO_G0272888_AD_07	AC013394.2	-1.076
chr8_96261458_96261757_-	p001@MTERFD1	370.097	-0.591849127868329	9.30979519614918e-05	0.0234376229337183	24	35.452	ASO_G0272888_AD_07	AC013394.2	-2.422
chr1_234607944_234608150_-	p011@IRF2BP2	16.283	1.17097548681051	9.56156563389178e-05	0.0238526293236022	3.095	1.319	ASO_G0272888_AD_07	AC013394.2	1.348
chr7_27662709_27663008_-	p002@HIBADH	929.638	-0.705821132730244	0.000100045108151869	0.0247327730882471	56.218	89.707	ASO_G0272888_AD_07	AC013394.2	-2.759
chr21_45287932_45288231_+	p001@BX322557.10	158.446	-0.596430284110157	0.000105782255110429	0.0259175969864758	10.188	15.226	ASO_G0272888_AD_07	AC013394.2	-2.262
chr12_55727762_55727820_-	p012@CD63	6.93	1.75658075963242	0.000107395686818293	0.0260800446192989	1.749	0.509	ASO_G0272888_AD_07	AC013394.2	1.832
chr13_31161980_31162162_-	p003@HSPH1	177.187	-0.573526855857995	0.00010942759194205	0.0261281653897272	11.652	16.98	ASO_G0272888_AD_07	AC013394.2	-3.026
chr9_19127342_19127641_-	p004@PLIN2	765.789	0.519075693008547	0.000109498160410285	0.0261281653897272	99.163	67.408	ASO_G0272888_AD_07	AC013394.2	2.396
chr2_173075699_173075889_+	p004@MLTK	909.409	-0.545601423059324	0.00011815999285239	0.0279519686539864	60.986	86.972	ASO_G0272888_AD_07	AC013394.2	-2.587
chr12_55727570_55727761_-	p013@CD63	4.779	1.83150811689132	0.000123069032121877	0.0285651044247107	1.215	0.346	ASO_G0272888_AD_07	AC013394.2	0.931
chr14_99480709_99481008_-	p001@SETD3	249.061	-0.600630244302511	0.000124785124254749	0.0285651044247107	15.988	23.883	ASO_G0272888_AD_07	AC013394.2	-2.055
chr17_81937089_81937268_-	p007@PYCR1	120.467	-0.921990017430475	0.000126997658241854	0.0285651044247107	6.236	11.764	ASO_G0272888_AD_07	AC013394.2	-2.431
chr1_29181748_29182047_-	p001@SRSF4	760.571	-0.523663503819483	0.000123778612198616	0.0285651044247107	51.676	72.765	ASO_G0272888_AD_07	AC013394.2	-3.967
chr20_19886371_19886577_+	p008@RIN2	47.97	1.00726317421514	0.00012569032508792	0.0285651044247107	8.203	3.989	ASO_G0272888_AD_07	AC013394.2	1.191
chr6_138988116_138988402_-	p001@REPS1	143.857	-0.643220210330398	0.000126928143684349	0.0285651044247107	8.993	13.84	ASO_G0272888_AD_07	AC013394.2	-3.114
chr19_55675078_55675238_+	p004@EPN1	556.739	-0.688442647052781	0.000131737084800798	0.0293902223090951	33.993	53.691	ASO_G0272888_AD_07	AC013394.2	-3.048
chr11_125592875_125593031_+	p004@STT3A	540.203	0.411171196610963	0.000135077019438146	0.0294788781348376	65.604	48.024	ASO_G0272888_AD_07	AC013394.2	2.068
chr14_64503721_64503892_-	p004@ZBTB25	113.679	-0.821344646167805	0.000134245709969295	0.0294788781348376	6.34	11.024	ASO_G0272888_AD_07	AC013394.2	-3.525
chr19_9435391_9435557_-	p003@ZNF266	88.831	0.546731061042606	0.000135357262672262	0.0294788781348376	11.809	7.784	ASO_G0272888_AD_07	AC013394.2	2.395
chr1_9234624_9234923_+	p004@H6PD	251.238	-0.884948145772871	0.00013667851626419	0.0295322453921703	13.454	24.48	ASO_G0272888_AD_07	AC013394.2	-3.016
chr12_120265542_120265711_-	p003@PXN	573.738	0.411251545721731	0.000137849196513806	0.0295524984494948	69.758	51.036	ASO_G0272888_AD_07	AC013394.2	1.958
chr13_30464177_30464476_-	p012@HMGB1	101.421	0.510525805292299	0.000139968828137197	0.0297742993249057	13.169	8.932	ASO_G0272888_AD_07	AC013394.2	0.928
chr5_98769131_98769358_+	p004@RGMB	198.055	-0.539715337877037	0.000142219728513602	0.0300203966933981	13.284	18.931	ASO_G0272888_AD_07	AC013394.2	-2.249
chr6_30489362_30489661_+	p003@HLA-E	1498.934	0.467215580892844	0.000143951624127771	0.0301540192190089	188.239	132.682	ASO_G0272888_AD_07	AC013394.2	2.034
chr6_73696146_73696352_+	p011@CD109	1836.324	0.444711784917625	0.000149210109595287	0.0306461849219065	227.682	162.83	ASO_G0272888_AD_07	AC013394.2	2.173
chr8_54022137_54022357_-	p002@TCEA1	1272.747	-0.320683507649029	0.000148867648365634	0.0306461849219065	98.715	120	ASO_G0272888_AD_07	AC013394.2	-1.293
chrX_153944493_153944792_-	p001@RENBP	52.351	0.769783570426216	0.000149651571718796	0.0306461849219065	7.912	4.468	ASO_G0272888_AD_07	AC013394.2	0.979
chr16_28974636_28974935_+	p002@SPNS1;p002@RP11-264B17.3	569.519	0.436102609929133	0.0001531441129746	0.0309328616798564	70.342	50.55	ASO_G0272888_AD_07	AC013394.2	2.261
chr16_53434332_53434631_+	p002@RBL2	321.652	-0.676974299280417	0.00015330597239388	0.0309328616798564	19.717	30.982	ASO_G0272888_AD_07	AC013394.2	-2.715
chr2_69829510_69829809_+	p002@GMCL1	243.368	-0.729769506099546	0.000155384659755606	0.0311234339295883	14.348	23.52	ASO_G0272888_AD_07	AC013394.2	-3.088
chr9_98943757_98944056_+	p003@COL15A1	127.098	-0.635973060590524	0.000157129492001292	0.0312448578986048	8.1	12.208	ASO_G0272888_AD_07	AC013394.2	-0.859
chr21_33642302_33642477_+	p001@ITSN1	122.577	-0.860292890735262	0.000160240782077144	0.0316342971293447	6.561	11.924	ASO_G0272888_AD_07	AC013394.2	-3.142
chr11_10807940_10808148_-	p004@EIF4G2	5.689	1.60400158634344	0.00016357692323484	0.0319341389834913	1.302	0.43	ASO_G0272888_AD_07	AC013394.2	0.907
chr1_153627128_153627391_-	p010@S100A13	146.049	0.627744560978248	0.000164087081253317	0.0319341389834913	20.094	12.716	ASO_G0272888_AD_07	AC013394.2	2.889
chr12_77940273_77940437_+	p009@NAV3	223.418	0.516010243396493	0.000169406942889515	0.0319880649221914	28.929	19.671	ASO_G0272888_AD_07	AC013394.2	1.436
chr20_346726_346763_+	p002@NRSN2	36.378	-1.04908635669794	0.000166774795468802	0.0319880649221914	1.744	3.572	ASO_G0272888_AD_07	AC013394.2	-3.852
chr21_43659414_43659713_+	p003@RRP1B	464.728	-0.721680294920421	0.0001701926853482	0.0319880649221914	27.765	44.794	ASO_G0272888_AD_07	AC013394.2	-4.145
chr4_94451792_94452091_+	p001@PDLIM5	1021.74	0.301841303751749	0.000169506500069889	0.0319880649221914	116.265	91.924	ASO_G0272888_AD_07	AC013394.2	1.703
chr5_17217454_17217617_+	p002@BASP1	631.476	-0.740640287607114	0.000166365264987424	0.0319880649221914	37.335	60.906	ASO_G0272888_AD_07	AC013394.2	-3.383
chr1_67685291_67685529_+	p002@GADD45A	63.503	0.610086002371319	0.000172823367774268	0.0321221976234435	8.674	5.538	ASO_G0272888_AD_07	AC013394.2	1.139
chr5_138543188_138543358_-	p002@ETF1	711.589	-0.531136756053912	0.000174078523901308	0.0321221976234435	48.034	67.99	ASO_G0272888_AD_07	AC013394.2	-3.703
chr9_114397821_114398120_-	p001@AKNA	32.805	-1.29205532614187	0.000174418113257282	0.0321221976234435	1.336	3.26	ASO_G0272888_AD_07	AC013394.2	-1.566
chr1_148952257_148952479_+	p036@PDE4DIP	298.26	-0.597251746258193	0.000176713514569873	0.0323279703554126	19.271	28.671	ASO_G0272888_AD_07	AC013394.2	-3.504
chr7_135748663_135748962_-	p001@FAM180A	196.049	0.53288986871713	0.000178818075140204	0.0324963364233268	25.644	17.233	ASO_G0272888_AD_07	AC013394.2	1.172
chr14_81220917_81221108_-	p004@GTF2A1	252.802	-0.724032694836682	0.000181619049231057	0.0325739106532643	14.985	24.448	ASO_G0272888_AD_07	AC013394.2	-2.903
chr9_36400743_36400932_-	p008@RNF38	100.715	-0.831588837042464	0.00018111364319078	0.0325739106532643	5.489	9.787	ASO_G0272888_AD_07	AC013394.2	-3.271
chr16_10580448_10580641_-	p002@EMP2	394.489	0.408683664940716	0.000185923629928726	0.0331294177199622	48.068	35.098	ASO_G0272888_AD_07	AC013394.2	2.387
chr2_74198465_74198764_+	p001@MTHFD2	665.341	-0.738524986307353	0.000195405637083328	0.0343726031231001	39.524	64.09	ASO_G0272888_AD_07	AC013394.2	-2.457
chr9_93134263_93134387_-	p006@NINJ1	112.796	-0.926480969457982	0.000195375353550521	0.0343726031231001	5.784	11.015	ASO_G0272888_AD_07	AC013394.2	-3.401
